cycles,side,pmax,PA,CCT,Dt,PS,mu,ad,I,M,Tumor size,Confluence
480,75,19,2,47,0.041666666666666664,26,4,4,2,10,46,0.8177777777777778
480,75,20,2,41,0.041666666666666664,47,5,0,2,10,352,6.257777777777777
480,75,16,2,16,0.041666666666666664,26,3,3,4,4,280,4.977777777777778
480,75,20,1,37,0.041666666666666664,14,9,8,1,3,513,9.120000000000001
480,75,19,2,48,0.041666666666666664,27,4,10,4,8,0,0.0
480,75,18,1,12,0.041666666666666664,25,6,10,2,10,276,4.906666666666667
480,75,16,1,35,0.041666666666666664,48,6,10,3,8,179,3.1822222222222223
480,75,18,1,37,0.041666666666666664,38,8,5,1,3,1167,20.746666666666666
480,75,18,2,31,0.041666666666666664,27,4,4,2,5,987,17.546666666666667
480,75,16,3,33,0.041666666666666664,54,6,8,4,3,25,0.4444444444444444
480,75,15,2,21,0.041666666666666664,17,3,10,4,6,0,0.0
480,75,18,3,29,0.041666666666666664,37,6,0,2,2,0,0.0
480,75,19,1,21,0.041666666666666664,60,9,9,4,0,678,12.053333333333335
480,75,19,2,21,0.041666666666666664,47,3,6,1,5,949,16.871111111111112
480,75,19,2,23,0.041666666666666664,46,5,0,2,6,2192,38.968888888888884
480,75,17,3,48,0.041666666666666664,29,10,5,4,1,0,0.0
480,75,20,2,29,0.041666666666666664,63,8,1,3,8,3193,56.764444444444436
480,75,15,3,41,0.041666666666666664,34,4,4,2,10,0,0.0
480,75,19,2,32,0.041666666666666664,51,8,7,1,0,576,10.24
480,75,18,3,39,0.041666666666666664,70,10,9,3,2,59,1.048888888888889
480,75,16,2,15,0.041666666666666664,37,8,2,1,9,3737,66.43555555555555
480,75,15,2,45,0.041666666666666664,18,7,7,0,4,159,2.8266666666666667
480,75,17,3,36,0.041666666666666664,25,5,3,5,7,0,0.0
480,75,16,3,13,0.041666666666666664,58,5,1,0,5,5041,89.61777777777777
480,75,20,2,42,0.041666666666666664,41,5,3,5,0,0,0.0
480,75,18,2,13,0.041666666666666664,55,6,6,5,1,1467,26.08
480,75,18,1,37,0.041666666666666664,18,7,7,2,3,326,5.795555555555556
480,75,19,3,41,0.041666666666666664,15,4,1,4,10,0,0.0
480,75,20,1,20,0.041666666666666664,63,2,5,3,8,879,15.626666666666667
480,75,20,1,44,0.041666666666666664,58,7,4,5,4,0,0.0
480,75,20,1,37,0.041666666666666664,58,9,4,3,0,384,6.826666666666667
480,75,17,1,44,0.041666666666666664,52,4,0,2,9,268,4.764444444444445
480,75,18,1,30,0.041666666666666664,26,5,4,4,2,62,1.1022222222222222
480,75,17,2,29,0.041666666666666664,49,8,5,4,8,0,0.0
480,75,20,2,32,0.041666666666666664,11,8,8,3,0,0,0.0
480,75,18,2,17,0.041666666666666664,43,7,4,3,8,2215,39.37777777777778
480,75,17,2,14,0.041666666666666664,54,6,5,0,8,2627,46.702222222222225
480,75,17,2,35,0.041666666666666664,35,10,1,3,5,246,4.373333333333333
480,75,17,1,46,0.041666666666666664,47,2,2,5,6,0,0.0
480,75,15,2,16,0.041666666666666664,65,5,1,1,2,5166,91.84
480,75,18,1,45,0.041666666666666664,51,8,4,1,8,343,6.097777777777778
480,75,18,2,35,0.041666666666666664,45,7,3,2,3,1254,22.293333333333333
480,75,17,1,14,0.041666666666666664,63,3,0,5,2,1998,35.52
480,75,19,2,43,0.041666666666666664,33,7,8,5,4,0,0.0
480,75,15,3,18,0.041666666666666664,29,8,0,4,6,152,2.7022222222222223
480,75,19,1,43,0.041666666666666664,15,10,8,3,3,21,0.37333333333333335
480,75,18,3,34,0.041666666666666664,49,5,7,2,7,248,4.408888888888889
480,75,15,3,19,0.041666666666666664,66,4,1,1,8,3571,63.48444444444444
480,75,19,3,41,0.041666666666666664,25,7,9,0,7,76,1.3511111111111112
480,75,15,2,44,0.041666666666666664,18,3,6,5,3,0,0.0
480,75,20,3,24,0.041666666666666664,29,10,1,4,0,83,1.4755555555555555
480,75,19,1,17,0.041666666666666664,32,3,5,5,9,473,8.408888888888889
